Kontonummer,Kontobezeichnung,Volle Kontobezeichnung
6550,Garagenmiete,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten:Garagenmiete
6560,Leasingfahrzeugkosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten:Leasingfahrzeugkosten
6565,"Mietleasingaufwendungen für Elektrofahrzeuge, die gewerbesteuerlich hinzuzurechnen sind","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten:Mietleasingaufwendungen für Elektrofahrzeuge, die gewerbesteuerlich hinzuzurechnen sind"
6570,Sonstige Kfz-Kosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten:Sonstige Kfz-Kosten
6580,Mautgebühren,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten:Mautgebühren
6590,"Kfz-Kosten für betrieblich genutzte, zum Privatvermögen gehörende Kraftfahrzeuge","08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten:Kfz-Kosten für betrieblich genutzte, zum Privatvermögen gehörende Kraftfahrzeuge"
6595,Fremdfahrzeugkosten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:5) Fahrzeugkosten:Fremdfahrzeugkosten
6700,7) Kosten der Warenabgabe,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:7) Kosten der Warenabgabe
6710,Verpackungsmaterial,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:7) Kosten der Warenabgabe:Verpackungsmaterial
6740,Ausgangsfrachten,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:7) Kosten der Warenabgabe:Ausgangsfrachten
6760,Transportversicherungen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:7) Kosten der Warenabgabe:Transportversicherungen
6770,Verkaufsprovisionen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:7) Kosten der Warenabgabe:Verkaufsprovisionen
6780,Fremdarbeiten (Vertrieb),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:7) Kosten der Warenabgabe:Fremdarbeiten (Vertrieb)
6790,Aufwand für Gewährleistung,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:7) Kosten der Warenabgabe:Aufwand für Gewährleistung
6880,Aufwendungen aus Kursdifferenzen,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:Aufwendungen aus Kursdifferenzen
6881,Aufwendungen aus der Währungsumrechnung (nicht § 256a HGB),08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:Aufwendungen aus der Währungsumrechnung (nicht § 256a HGB)
6883,Aufwendungen aus Bewertung Finanzmittelfonds,08. sonstige betriebliche Aufwendungen:a) ordentliche betriebliche Aufwendungen:Aufwendungen aus Bewertung Finanzmittelfonds
,b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens
6884,Erlöse aus Verkäufen Sachanlagevermögen steuerfrei §4 Nr. 1a UStG,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Erlöse aus Verkäufen Sachanlagevermögen steuerfrei §4 Nr. 1a UStG
6885,Erlöse aus Verkäufen Sachanlagevermögen 19% USt,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Erlöse aus Verkäufen Sachanlagevermögen 19% USt
6888,Erlöse aus Verkäufen Sachanlagevermögen steuerfrei §4 Nr. 1b UStG,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Erlöse aus Verkäufen Sachanlagevermögen steuerfrei §4 Nr. 1b UStG
6889,Erlöse aus Verkäufen Sachanlagevermögen,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Erlöse aus Verkäufen Sachanlagevermögen
6890,Erlöse aus Verkäufen immaterieller Vermögensgegenstände,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Erlöse aus Verkäufen immaterieller Vermögensgegenstände
6891,Erlöse aus Verkäufen Finanzanlagen,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Erlöse aus Verkäufen Finanzanlagen
6892,Erlöse aus Verkäufen Finanzanlagen 100 %/50 % nicht abzugsfähig (inländische Kap.Ges.),08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Erlöse aus Verkäufen Finanzanlagen 100 %/50 % nicht abzugsfähig (inländische Kap.Ges.)
6895,Anlagenabgänge Sachanlagen,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Anlagenabgänge Sachanlagen
6896,Anlagenabgänge immaterielle Vermögensgegenstände,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Anlagenabgänge immaterielle Vermögensgegenstände
6897,Anlagenabgänge Finanzanlagen,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Anlagenabgänge Finanzanlagen
6898,Anlagenabgänge Finanzanlagen 100 %/50 % nicht abzugsfähig (inländische Kap.Ges.),08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Anlagenabgänge Finanzanlagen 100 %/50 % nicht abzugsfähig (inländische Kap.Ges.)
6900,Verluste aus dem Abgang von Gegenständen des Anlagevermögens,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Verluste aus dem Abgang von Gegenständen des Anlagevermögens
6903,Verluste aus der Veräußerung von Anteilen an Kapitalgesellschaften 100 %/50 % nicht abzugsfähig,08. sonstige betriebliche Aufwendungen:b) Verluste aus dem Abgang von Gegenständen des Anlagevermögens:Verluste aus der Veräußerung von Anteilen an Kapitalgesellschaften 100 %/50 % nicht abzugsfähig
,c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen,08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen
6900,Verluste aus dem Abgang von Gegenständen des Anlagevermögens,08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Verluste aus dem Abgang von Gegenständen des Anlagevermögens
6903,Verluste aus der Veräußerung von Anteilen an Kapitalgesellschaften (Finanzanlagevermögen) § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG9),08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Verluste aus der Veräußerung von Anteilen an Kapitalgesellschaften (Finanzanlagevermögen) § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG9)
6905,Verluste aus dem Abgang von Gegenständen des Umlaufvermögens außer Vorräten,08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Verluste aus dem Abgang von Gegenständen des Umlaufvermögens außer Vorräten
6906,Verluste aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräten) 100%/50% nicht abzugsfähig,08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Verluste aus dem Abgang von Gegenständen des Umlaufvermögens (außer Vorräten) 100%/50% nicht abzugsfähig
6907,Abgang von Wirtschaftsgütern des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG,08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Abgang von Wirtschaftsgütern des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG
6908,Abgang von Wirtschaftsgütern des Umlaufvermögens § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG nach § 4 Abs. 3 Satz 4 EStG,08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Abgang von Wirtschaftsgütern des Umlaufvermögens § 3 Nr. 40 EStG bzw. § 8b Abs. 3 KStG nach § 4 Abs. 3 Satz 4 EStG
6910,Abschreibungen auf Umlaufvermögen außer Vorräten und Wertpapieren des UV,08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Abschreibungen auf Umlaufvermögen außer Vorräten und Wertpapieren des UV
6912,"Abschreibungen auf Umlaufvermögen außer Vorräten und Wertpapieren des UV, steuerrechtlich bedingt","08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Abschreibungen auf Umlaufvermögen außer Vorräten und Wertpapieren des UV, steuerrechtlich bedingt"
6918,Aufwendungen aus dem Erwerb eigener Anteile,08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Aufwendungen aus dem Erwerb eigener Anteile
6920,Einstellung in die Pauschalwertberichtigung zu Forderungen,08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Einstellung in die Pauschalwertberichtigung zu Forderungen
6922,Einstellungen in die steuerliche Rücklage nach § 6b Abs. 3 EStG,08. sonstige betriebliche Aufwendungen:c) Verluste aus Wertminderungen oder aus dem Abgang von Gegenständen des Umlaufvermögens und Einstellung in die Pauschalwertberichtigung zu Forderungen:Einstellungen in die steuerliche Rücklage nach § 6b Abs. 3 EStG
,d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit,08. sonstige betriebliche Aufwendungen:d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit
6390,"Zuwendungen, Spenden, steuerlich nicht abziehbar","08. sonstige betriebliche Aufwendungen:d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit:Zuwendungen, Spenden, steuerlich nicht abziehbar"
6391,"Zuwendungen, Spenden für wissenschaftliche und kulturelle Zwecke","08. sonstige betriebliche Aufwendungen:d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit:Zuwendungen, Spenden für wissenschaftliche und kulturelle Zwecke"
6392,"Zuwendungen, Spenden für mildtätige Zwecke","08. sonstige betriebliche Aufwendungen:d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit:Zuwendungen, Spenden für mildtätige Zwecke"
6393,"Zuwendungen, Spenden für kirchliche, religiöse und gemeinntüzige Zwecke","08. sonstige betriebliche Aufwendungen:d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit:Zuwendungen, Spenden für kirchliche, religiöse und gemeinntüzige Zwecke"
6394,"Zuwendungen, Spenden an politische Parteien","08. sonstige betriebliche Aufwendungen:d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit:Zuwendungen, Spenden an politische Parteien"
6395,"Zuwendungen, Spenden an Stiftungen für gemeinnützige Zwecke i.S.d. §52 Abs. 2 Nr. 1-3 AO","08. sonstige betriebliche Aufwendungen:d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit:Zuwendungen, Spenden an Stiftungen für gemeinnützige Zwecke i.S.d. §52 Abs. 2 Nr. 1-3 AO"
6396,"Zuwendungen, Spenden an Stiftungen für gemeinnützige Zwecke i.S.d. §52 Abs. 2 Nr. 4 AO","08. sonstige betriebliche Aufwendungen:d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit:Zuwendungen, Spenden an Stiftungen für gemeinnützige Zwecke i.S.d. §52 Abs. 2 Nr. 4 AO"
6397,"Zuwendungen, Spenden an Stiftungen für kirchliche, religiöse und gemeinnützige Zwecke","08. sonstige betriebliche Aufwendungen:d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit:Zuwendungen, Spenden an Stiftungen für kirchliche, religiöse und gemeinnützige Zwecke"
6398,"Zuwendungen, Spenden an Stiftungen für wissenschaftliche, mildtätige, kulturelle Zwecke","08. sonstige betriebliche Aufwendungen:d) sonstige Aufwendungen im Rahmen der gewöhnlichen Geschäftstätigkeit:Zuwendungen, Spenden an Stiftungen für wissenschaftliche, mildtätige, kulturelle Zwecke"
,e) Kalkulatorische Kosten,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten
6970,Kalkulatorischer Unternehmerlohn,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Kalkulatorischer Unternehmerlohn
6972,Kalkulatorische Miete und Pacht,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Kalkulatorische Miete und Pacht
6974,Kalkulatorische Zinsen,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Kalkulatorische Zinsen
6976,Kalkulatorische Abschreibungen,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Kalkulatorische Abschreibungen
6978,Kalkulatorische Wagnisse,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Kalkulatorische Wagnisse
6979,Kalkulatorischer Lohn für unentgeltliche Mitarbeiter,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Kalkulatorischer Lohn für unentgeltliche Mitarbeiter
6980,Verrechneter kalkulatorischer Unternehmerlohn,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Verrechneter kalkulatorischer Unternehmerlohn
6982,Verrechnete kalkulatorische Miete und Pacht,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Verrechnete kalkulatorische Miete und Pacht
6984,Verrechnete kalkulatorische Zinsen,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Verrechnete kalkulatorische Zinsen
6986,Verrechnete kalkulatorische Abschreibungen,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Verrechnete kalkulatorische Abschreibungen
6988,Verrechnete kalkulatorische Wagnisse,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Verrechnete kalkulatorische Wagnisse
6989,Verrechneter kalkulatorischer Lohn für unentgeltliche Mitarbeiter,08. sonstige betriebliche Aufwendungen:e) Kalkulatorische Kosten:Verrechneter kalkulatorischer Lohn für unentgeltliche Mitarbeiter
,f) Kosten bei Anwendung des Umsatzkostenverfahrens,08. sonstige betriebliche Aufwendungen:f) Kosten bei Anwendung des Umsatzkostenverfahrens
6990,Herstellungskosten,08. sonstige betriebliche Aufwendungen:f) Kosten bei Anwendung des Umsatzkostenverfahrens:Herstellungskosten
6992,Verwaltungskosten,08. sonstige betriebliche Aufwendungen:f) Kosten bei Anwendung des Umsatzkostenverfahrens:Verwaltungskosten
6994,Vertriebskosten,08. sonstige betriebliche Aufwendungen:f) Kosten bei Anwendung des Umsatzkostenverfahrens:Vertriebskosten
6999,Gegenkonto zu 6990 bis 6998,08. sonstige betriebliche Aufwendungen:f) Kosten bei Anwendung des Umsatzkostenverfahrens:Gegenkonto zu 6990 bis 6998
6923,Einstellung in die Einzelwertberichtigung zu Forderungen,08. sonstige betriebliche Aufwendungen:Einstellung in die Einzelwertberichtigung zu Forderungen
6924,Einstellungen in die steuerliche Rücklage nach § 6b Abs. 10 EStG,08. sonstige betriebliche Aufwendungen:Einstellungen in die steuerliche Rücklage nach § 6b Abs. 10 EStG
6925,Einstellungen in Sonderposten mit Rücklageanteil (steuerfreie Rücklagen),08. sonstige betriebliche Aufwendungen:Einstellungen in Sonderposten mit Rücklageanteil (steuerfreie Rücklagen)
6927,Einstellungen in Sonderposten mit Rücklageanteil (Sonderabschreibungen),08. sonstige betriebliche Aufwendungen:Einstellungen in Sonderposten mit Rücklageanteil (Sonderabschreibungen)
6928,Einstellungen in Sonderposten mit Rücklageanteil (Existenzgründerrücklage),08. sonstige betriebliche Aufwendungen:Einstellungen in Sonderposten mit Rücklageanteil (Existenzgründerrücklage)
6929,Einstellungen in Sonderposten mit Rücklageanteil (§52 Abs. 16 EStG),08. sonstige betriebliche Aufwendungen:Einstellungen in Sonderposten mit Rücklageanteil (§52 Abs. 16 EStG)
6930,Forderungsverluste,08. sonstige betriebliche Aufwendungen:Forderungsverluste
6931,Forderungsverluste 7% USt,08. sonstige betriebliche Aufwendungen:Forderungsverluste:Forderungsverluste 7% USt
6932,Forderungsverluste aus steuerfreien EG-Lieferunge,08. sonstige betriebliche Aufwendungen:Forderungsverluste:Forderungsverluste aus steuerfreien EG-Lieferunge
6933,Forderungsverluste aus im Inland steuerpflichtigen EG-Lieferungen 7% USt,08. sonstige betriebliche Aufwendungen:Forderungsverluste:Forderungsverluste aus im Inland steuerpflichtigen EG-Lieferungen 7% USt
6936,Forderungsverluste 19 % USt (übliche Höhe),08. sonstige betriebliche Aufwendungen:Forderungsverluste:Forderungsverluste 19 % USt (übliche Höhe)
6937,Forderungsverluste 15% USt,08. sonstige betriebliche Aufwendungen:Forderungsverluste:Forderungsverluste 15% USt
6938,Forderungsverluste aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt (übliche Höhe),08. sonstige betriebliche Aufwendungen:Forderungsverluste:Forderungsverluste aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt (übliche Höhe)
6960,Periodenfremde Aufwendungen,08. sonstige betriebliche Aufwendungen:Periodenfremde Aufwendungen
6967,Sonstige Aufwendungen betriebsfremd und regelmäßig,08. sonstige betriebliche Aufwendungen:Sonstige Aufwendungen betriebsfremd und regelmäßig
6968,Sonstige nicht abziehbare Aufwendungen,08. sonstige betriebliche Aufwendungen:Sonstige nicht abziehbare Aufwendungen
